REPORT_DATE,ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS
2023-06-09,DR - Direct Response,Title,paid social,7784.31,86401.15,8.959993903642285,11.366767838741799
2023-08-29,DR - Direct Response,Title,app,2474.31,2956.74,7.8141209196846,7.992180742179701
2023-07-23,ATL - Above The Line,Title,paid social,10222.82,12513.08,9.232475570828532,9.434609689377893
2023-12-23,DR - Direct Response,Title,app,49631.87,17207.04,10.812408594836175,9.753131995445097
2022-08-31,ATL - Above The Line,Title,paid social,2081.06,21758.33,7.641113067203475,9.987797910054667
2023-08-27,ATL - Above The Line,Title,paid social,2081.12,16865.54,7.641141884401581,9.733087056697824
2023-02-07,DR - Direct Response,Brand,display,54929.17,2136.2,10.913818021179866,7.667251840083616
2023-11-16,DR - Direct Response,Title,youtube,12689.4,40603.83,9.448601081094246,10.61164230403123
2022-12-03,ATL - Above The Line,Title,paid social,1360.86,47558.64,7.216606691411518,10.769739781390031
2023-03-06,DR - Direct Response,Brand,app,8455.89,137465.71,9.042736772721161,11.831137057684716
2023-11-16,DR - Direct Response,Title,paid social,1375.82,12503.58,7.227531771229939,9.433850256182303
2022-10-28,ATL - Above The Line,Brand,youtube,1370.09,11518.06,7.223361322921965,9.351758333698426
2023-06-05,DR - Direct Response,Brand,paid social,4914.93,1875.13,8.500236231365669,7.536966423540553
2023-11-18,DR - Direct Response,Brand,app,100.46,20537.19,4.6196646321385435,9.930041358859668
2023-10-08,DR - Direct Response,Title,app,141.14,68066.87,4.956812487398749,11.128260574634652
2023-05-18,DR - Direct Response,Brand,display,1150.95,14925.7,7.0492114375361306,9.610906834621938
2023-10-23,DR - Direct Response,Brand,display,510.35,236640.21,6.237054287252022,12.374300391183752
2024-03-27,DR - Direct Response,Title,display,5599.93,21313.06,8.630687934363479,9.96712222782808
2023-08-07,DR - Direct Response,Brand,paid social,616.64,31948.17,6.425905763452663,10.371901481377478
2022-06-06,DR - Direct Response,Title,paid social,248.15,7025.18,5.518055124727414,8.857398451626558
2023-11-16,ATL - Above The Line,Title,youtube,44748.54,36772.95,10.70883644432056,10.512544993056583
2023-09-08,ATL - Above The Line,Brand,display,0.0,3786.49,0.0,8.239458809550113
2022-09-24,ATL - Above The Line,Brand,display,0.0,55282.49,0.0,10.920229589589114
2023-12-08,DR - Direct Response,Title,app,242.64,57012.95,5.495691725968284,10.951051253715617
2022-08-30,ATL - Above The Line,Title,paid social,1188.76,107774.52,7.081506885093025,11.587805824470315
2023-10-15,DR - Direct Response,Brand,display,3879.66,9911.17,8.263760521244212,9.201518574090072
2023-06-11,DR - Direct Response,Brand,paid social,397.71,32385.97,5.988234335587697,10.385511460398375
2022-08-29,ATL - Above The Line,Title,paid social,6256.83,48530.2,8.74158875863134,10.78996216906656
2023-09-17,DR - Direct Response,Title,paid social,1073.97,42960.78,6.9800480331956125,10.668066162216379
2022-08-01,DR - Direct Response,Brand,paid social,1875.76,11574.38,7.537302164799113,9.356635707789213
2023-04-29,DR - Direct Response,Title,app,1071.9,2503.13,6.978120541642701,7.825696647805259
2022-06-28,ATL - Above The Line,Brand,paid social,89921.2,39043.68,11.406700131020397,10.57246191039153
2022-07-20,DR - Direct Response,Brand,paid social,3099.27,23658.6,8.039244483454727,10.071524231218714
2023-10-21,DR - Direct Response,Brand,paid social,470.64,15616.32,6.156215982708472,9.65613583376905
2022-12-28,ATL - Above The Line,Brand,youtube,14016.59,59318.06,9.548068248522963,10.990685949868729
2024-02-28,DR - Direct Response,Brand,ott,350.6,26354.23,5.862494165811022,10.179422016248003
2023-04-25,DR - Direct Response,Title,app,4629.89,7341.48,8.440504353229525,8.901431939201172
2022-07-25,ATL - Above The Line,Brand,display,92.39,3972.72,4.536784273121627,8.287457962652633
2023-02-17,DR - Direct Response,Brand,app,288.84,8884.8,5.669329046586822,9.092209775927683
2024-03-18,DR - Direct Response,Title,ott,4530.67,303947.54,8.418845803962737,12.624613689743716
2023-08-12,DR - Direct Response,Brand,pmax,12042.94,56918.59,9.396316907855573,10.949394849085786
2022-07-04,DR - Direct Response,Brand,app,4326.91,33310.06,8.372840025485702,10.413644752957
2023-07-11,ATL - Above The Line,Brand,display,0.0,22976.64,0.0,10.042276848130687
2024-03-03,DR - Direct Response,Brand,paid social,0.0,21510.68,0.0,9.976351322419688
2023-04-28,DR - Direct Response,Brand,app,220.2,88887.46,5.39906726964818,11.395137604302205
2022-08-29,ATL - Above The Line,Brand,youtube,866.06,16854.52,6.765108178538294,9.73243347857168
2022-07-27,ATL - Above The Line,Brand,ott,1382.74,49172.24,7.2325452572578,10.803104852072787
2023-07-02,DR - Direct Response,Title,youtube,21405.74,19437.66,9.971461104693601,9.875019145597493
2022-07-25,ATL - Above The Line,Title,paid social,5904.82,192991.17,8.683693584358892,12.170404897115853
2023-03-07,DR - Direct Response,Brand,youtube,0.0,58043.47,0.0,10.968964719883694
2023-11-14,ATL - Above The Line,Brand,paid social,5700.24,96155.47,8.648438974023057,11.473732039444636
2024-01-09,DR - Direct Response,Title,youtube,1584.78,15340.93,7.368831678827881,9.638344881870324
2023-03-16,ATL - Above The Line,Brand,youtube,935.82,79677.31,6.84249116132974,11.285752682194191
2023-02-10,DR - Direct Response,Brand,app,9579.44,20149.31,9.16747879892899,9.910974951871871
2022-09-20,ATL - Above The Line,Brand,youtube,20419.85,30785.59,9.924311716709328,10.3348344845417
