ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,FREE_TRIALS,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
DR - Direct Response,Title,paid social,7784.31,86401.15,False,False,False,Summer,paid social_DR - Direct Response,paid social_Title,0.09009498137466922,672573335.9564999,8.959993903642285,11.366767838741799,0.08626483132052434,20.326621714731047
DR - Direct Response,Title,app,2474.31,2956.74,False,False,False,Summer,app_DR - Direct Response,app_Title,0.8368371923131558,7315891.3494,7.8141209196846,7.992180742179701,0.6080451753664432,15.805559573977856
ATL - Above The Line,Title,paid social,10222.82,12513.08,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.8169707218366701,127918964.4856,9.232475570828532,9.434609689377893,0.5971706758206281,18.66690753925902
DR - Direct Response,Title,app,49631.87,17207.04,False,True,False,Winter,app_DR - Direct Response,app_Title,2.8843932483448635,854017572.3648001,10.812408594836175,9.753131995445097,1.3569667935903418,20.565462329251666
ATL - Above The Line,Title,paid social,2081.06,21758.33,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.09564428887694965,45280390.2298,7.641113067203475,9.987797910054667,0.09134258190240493,17.628384632055973
ATL - Above The Line,Title,paid social,2081.12,16865.54,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.12339480384262821,35099212.6048,7.641141884401581,9.733087056697824,0.1163551757206203,17.373689283763458
DR - Direct Response,Brand,display,54929.17,2136.2,False,False,False,Winter,display_DR - Direct Response,display_Brand,25.713495927347626,117339692.95399998,10.913818021179866,7.667251840083616,3.2851689031453093,18.580583653260188
DR - Direct Response,Title,youtube,12689.4,40603.83,False,False,False,Fall,youtube_DR - Direct Response,youtube_Title,0.31251731671618166,515238240.402,9.448601081094246,10.61164230403123,0.2719469090851252,20.06013995632354
ATL - Above The Line,Title,paid social,1360.86,47558.64,False,False,False,Winter,paid social_ATL - Above The Line,paid social_Title,0.028614359031292735,64720650.8304,7.216606691411518,10.769739781390031,0.028212614042782604,17.98559090220891
DR - Direct Response,Brand,app,8455.89,137465.71,False,False,False,Spring,app_DR - Direct Response,app_Brand,0.061512721972628664,1162394922.5319,9.042736772721161,11.831137057684716,0.05969498699055996,20.873748302980857
DR - Direct Response,Title,paid social,1375.82,12503.58,False,False,False,Fall,paid social_DR - Direct Response,paid social_Title,0.11003408623770151,17202675.435599998,7.227531771229939,9.433850256182303,0.10439072317500551,16.66057553639914
ATL - Above The Line,Brand,youtube,1370.09,11518.06,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Brand,0.11895145536661555,15780778.825399999,7.223361322921965,9.351758333698426,0.11239204623202201,16.5743032907541
DR - Direct Response,Brand,paid social,4914.93,1875.13,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,2.621114269410654,9216132.690900002,8.500236231365669,7.536966423540553,1.2867817877036003,16.036466168203653
DR - Direct Response,Brand,app,100.46,20537.19,False,False,False,Fall,app_DR - Direct Response,app_Brand,0.004891613701777118,2063166.1073999996,4.6196646321385435,9.930041358859668,0.004879688632218087,14.539752790905709
DR - Direct Response,Title,app,141.14,68066.87,False,True,False,Fall,app_DR - Direct Response,app_Title,0.0020735491436582876,9606958.031799998,4.956812487398749,11.128260574634652,0.00207140230783352,16.077998292971415
DR - Direct Response,Brand,display,1150.95,14925.7,False,False,False,Spring,display_DR - Direct Response,display_Brand,0.07711196124804867,17178734.415000003,7.0492114375361306,9.610906834621938,0.07428334936171405,16.659182863836794
DR - Direct Response,Brand,display,510.35,236640.21,False,False,False,Fall,display_DR - Direct Response,display_Brand,0.002156649539822501,120769331.1735,6.237054287252022,12.374300391183752,0.0021543273094290654,18.609392938497923
DR - Direct Response,Title,display,5599.93,21313.06,False,False,False,Spring,display_DR - Direct Response,display_Title,0.26274640994770343,119351644.0858,8.630687934363479,9.96712222782808,0.23328903931918274,18.597584694364215
DR - Direct Response,Brand,paid social,616.64,31948.17,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.019301262012816383,19700519.5488,6.425905763452663,10.371901481377478,0.01911735530861887,16.796155617156067
DR - Direct Response,Title,paid social,248.15,7025.18,False,False,False,Summer,paid social_DR - Direct Response,paid social_Title,0.03532293834464028,1743298.4170000001,5.518055124727414,8.857398451626558,0.03471339577421552,14.37129009230803
ATL - Above The Line,Title,youtube,44748.54,36772.95,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Title,1.2168874131664718,1645535823.9929998,10.70883644432056,10.512544993056583,0.7961041459285375,21.221331897604443
ATL - Above The Line,Brand,display,0.0,3786.49,False,False,False,Fall,display_ATL - Above The Line,display_Brand,0.0,0.0,0.0,8.239458809550113,0.0,0.0
ATL - Above The Line,Brand,display,0.0,55282.49,False,False,False,Fall,display_ATL - Above The Line,display_Brand,0.0,0.0,0.0,10.920229589589114,0.0,0.0
DR - Direct Response,Title,app,242.64,57012.95,False,False,False,Winter,app_DR - Direct Response,app_Title,0.0042558752002834445,13833622.188,5.495691725968284,10.951051253715617,0.004246844576495316,16.442612649662696
ATL - Above The Line,Title,paid social,1188.76,107774.52,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.011030065362388066,128118038.3952,7.081506885093025,11.587805824470315,0.010969677837890667,18.66846257970959
DR - Direct Response,Brand,display,3879.66,9911.17,False,False,False,Fall,display_DR - Direct Response,display_Brand,0.39144318985548626,38451969.8022,8.263760521244212,9.201518574090072,0.3303414746002465,17.464920508836443
DR - Direct Response,Brand,paid social,397.71,32385.97,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.012280317680773494,12880224.1287,5.988234335587697,10.385511460398375,0.01220552626529118,16.371203757424063
ATL - Above The Line,Title,paid social,6256.83,48530.2,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.12892652410251762,303645211.266,8.74158875863134,10.78996216906656,0.12126720253819759,19.531370512905436
DR - Direct Response,Title,paid social,1073.97,42960.78,False,False,False,Fall,paid social_DR - Direct Response,paid social_Title,0.02499884778628321,46138588.8966,6.9800480331956125,10.668066162216379,0.024691488478796476,17.647160248834115
DR - Direct Response,Brand,paid social,1875.76,11574.38,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.16206138039359344,21710759.0288,7.537302164799113,9.356635707789213,0.1501954800928008,16.893318549477538
DR - Direct Response,Title,app,1071.9,2503.13,False,False,False,Spring,app_DR - Direct Response,app_Title,0.4282238637226193,2683105.0470000003,6.978120541642701,7.825696647805259,0.35643161894344016,14.80248565415777
ATL - Above The Line,Brand,paid social,89921.2,39043.68,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Brand,2.303092331460559,3510854558.016,11.406700131020397,10.57246191039153,1.1948590998358626,21.97912530889873
DR - Direct Response,Brand,paid social,3099.27,23658.6,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.1309997210316756,73324389.22199999,8.039244483454727,10.071524231218714,0.12310195047760956,18.110403856693654
DR - Direct Response,Brand,paid social,470.64,15616.32,False,False,False,Fall,paid social_DR - Direct Response,paid social_Brand,0.03013770209626852,7349664.8448,6.156215982708472,9.65613583376905,0.02969248466125205,15.810165406863016
ATL - Above The Line,Brand,youtube,14016.59,59318.06,False,False,True,Winter,youtube_ATL - Above The Line,youtube_Brand,0.23629548909724965,831436926.6154,9.548068248522963,10.990685949868729,0.21211939931200302,20.53866599998047
DR - Direct Response,Brand,ott,350.6,26354.23,False,False,False,Winter,ott_DR - Direct Response,ott_Brand,0.01330336723933881,9239793.038,5.862494165811022,10.179422016248003,0.013215654509482174,16.039030153109696
DR - Direct Response,Title,app,4629.89,7341.48,False,False,False,Spring,app_DR - Direct Response,app_Title,0.6306480437187053,33990244.8372,8.440504353229525,8.901431939201172,0.4889775086410946,17.34158415427927
ATL - Above The Line,Brand,display,92.39,3972.72,False,False,False,Summer,display_ATL - Above The Line,display_Brand,0.023256106647334823,367039.60079999996,4.536784273121627,8.287457962652633,0.022989804266371407,12.813227749800618
DR - Direct Response,Brand,app,288.84,8884.8,False,True,False,Winter,app_DR - Direct Response,app_Brand,0.03250945434900054,2566285.6319999998,5.669329046586822,9.092209775927683,0.031992202565607884,14.757970521738486
DR - Direct Response,Title,ott,4530.67,303947.54,False,False,False,Spring,ott_DR - Direct Response,ott_Title,0.014906092018379226,1377086001.0518,8.418845803962737,12.624613689743716,0.014796088034558168,21.043235510844152
DR - Direct Response,Brand,pmax,12042.94,56918.59,False,False,False,Summer,pmax_DR - Direct Response,pmax_Brand,0.21158183995773616,685467164.2545999,9.396316907855573,10.949394849085786,0.19192681157870276,20.345611156847312
DR - Direct Response,Brand,app,4326.91,33310.06,True,False,False,Summer,app_DR - Direct Response,app_Brand,0.12989799477995537,144129631.7146,8.372840025485702,10.413644752957,0.12212735854342377,18.786223679763523
ATL - Above The Line,Brand,display,0.0,22976.64,False,False,False,Summer,display_ATL - Above The Line,display_Brand,0.0,0.0,0.0,10.042276848130687,0.0,0.0
DR - Direct Response,Brand,paid social,0.0,21510.68,False,False,False,Spring,paid social_DR - Direct Response,paid social_Brand,0.0,0.0,0.0,9.976351322419688,0.0,0.0
DR - Direct Response,Brand,app,220.2,88887.46,False,False,False,Spring,app_DR - Direct Response,app_Brand,0.0024772898224338954,19573018.692,5.39906726964818,11.395137604302205,0.0024742263982849653,16.78966262956396
ATL - Above The Line,Brand,youtube,866.06,16854.52,False,False,False,Summer,youtube_ATL - Above The Line,youtube_Brand,0.0513844357477994,14597025.5912,6.765108178538294,9.73243347857168,0.05010780593411861,16.496328407800444
ATL - Above The Line,Brand,ott,1382.74,49172.24,False,False,False,Summer,ott_ATL - Above The Line,ott_Brand,0.028120337816621738,67992423.1376,7.2325452572578,10.803104852072787,0.02773222031487118,18.03490684719268
DR - Direct Response,Title,youtube,21405.74,19437.66,False,True,False,Summer,youtube_DR - Direct Response,youtube_Title,1.1012508707323825,416077496.16840005,9.971461104693601,9.875019145597493,0.7425328201284109,19.846382092145667
ATL - Above The Line,Title,paid social,5904.82,192991.17,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.03059632210116141,1139578120.4394,8.683693584358892,12.170404897115853,0.030137588208900046,20.85392396194761
DR - Direct Response,Brand,youtube,0.0,58043.47,False,False,False,Spring,youtube_DR - Direct Response,youtube_Brand,0.0,0.0,0.0,10.968964719883694,0.0,0.0
ATL - Above The Line,Brand,paid social,5700.24,96155.47,False,False,True,Fall,paid social_ATL - Above The Line,paid social_Brand,0.0592814948541149,548109256.3127999,8.648438974023057,11.473732039444636,0.05759084324664941,20.121985199698198
DR - Direct Response,Title,youtube,1584.78,15340.93,False,False,False,Winter,youtube_DR - Direct Response,youtube_Title,0.10330403697820145,24311999.0454,7.368831678827881,9.638344881870324,0.09830934778060282,17.006480615446158
ATL - Above The Line,Brand,youtube,935.82,79677.31,False,False,False,Spring,youtube_ATL - Above The Line,youtube_Brand,0.011745125431568913,74563620.2442,6.84249116132974,11.285752682194191,0.011676686804800237,18.12716329535159
DR - Direct Response,Brand,app,9579.44,20149.31,False,True,False,Winter,app_DR - Direct Response,app_Brand,0.4754227315972607,193019106.18640003,9.16747879892899,9.910974951871871,0.38894454642356757,19.07829974293469
ATL - Above The Line,Brand,youtube,20419.85,30785.59,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Brand,0.6632924689765568,628637129.9614999,9.924311716709328,10.3348344845417,0.5087990530439604,20.259064749882455
ATL - Above The Line,Brand,paid social,17056.16,142113.01,False,False,False,Fall,paid social_ATL - Above The Line,paid social_Brand,0.12001828685494734,2423902236.6416,9.744325335909947,11.864384901765732,0.11334501272277032,21.60864457333422
ATL - Above The Line,Title,youtube,698.18,9687.03,False,False,False,Summer,youtube_ATL - Above The Line,youtube_Title,0.07207369028484478,6763290.6054,6.549908219813227,9.178646381842501,0.06959480122341549,15.727020253385925
DR - Direct Response,Brand,pmax,1817.38,33802.63,True,True,False,Fall,pmax_DR - Direct Response,pmax_Brand,0.05376445560596913,61432223.7094,7.50570127379769,10.428323472154228,0.05236894848986385,17.93344508784167
DR - Direct Response,Brand,display,5774.59,42776.91,False,False,False,Spring,display_DR - Direct Response,display_Brand,0.1349931540169685,247019116.71690002,8.661395694673722,10.663777126838015,0.12662661921206375,19.324976291260615
ATL - Above The Line,Brand,display,18474.86,46443.8,False,False,False,Fall,display_ATL - Above The Line,display_Brand,0.3977895865540718,858042702.868,9.824220294124082,10.746019789643762,0.3348921221505197,20.570164427621606
ATL - Above The Line,Title,youtube,1337.24,17541.15,False,False,False,Summer,youtube_ATL - Above The Line,youtube_Title,0.07623445441148385,23456727.426000003,7.199110596800214,9.772361835381163,0.07346833243851277,16.97066793818291
DR - Direct Response,Title,youtube,2271.43,223450.32,False,False,False,Summer,youtube_DR - Direct Response,youtube_Title,0.01016525731536209,507551760.3576,7.728605022496901,12.316948861705976,0.010113938573014063,20.04510925650216
ATL - Above The Line,Brand,display,0.0,7522.33,False,False,False,Summer,display_ATL - Above The Line,display_Brand,0.0,0.0,0.0,8.925764138077357,0.0,0.0
