ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,FREE_TRIALS,HOLIDAY_FLAG,SEASON,MONTH,ATL_OR_DR_CAMPAIGN_TYPE,ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL,ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH,ATL_OR_DR_CAMPAIGN_TYPE_MONTH,ATL_OR_DR_CHANNEL,ATL_OR_DR_CHANNEL_MONTH,ATL_OR_DR_MONTH,CAMPAIGN_TYPE_CHANNEL,CAMPAIGN_TYPE_CHANNEL_MONTH,CAMPAIGN_TYPE_MONTH,CHANNEL_MONTH,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS,AVG_COST_MONTH,MEDIAN_COST_MONTH,AVG_COST_CAMPAIGN_TYPE_CHANNEL,MEDIAN_COST_CAMPAIGN_TYPE_CHANNEL,AVG_FREE_TRIALS_MONTH,MEDIAN_FREE_TRIALS_MONTH,AVG_FREE_TRIALS_BY_CHANNEL_MONTH,MEDIAN_FREE_TRIALS_BY_CHANNEL_MONTH,FREE_TRIALS_OVER_AVG_FREE_TRIALS_BY_CHANNEL_MONTH,AVG_COST_PER_FREE_TRIALS_BY_CHANNEL_MONTH,MEDIAN_COST_PER_FREE_TRIALS_BY_CHANNEL_MONTH,COST_PER_FREE_TRIALS_OVER_AVG_COST_PER_FREE_TRIALS_BY_CHANNEL_MONTH,AVG_COST_BY_CHANNEL_MONTH,MEDIAN_COST_BY_CHANNEL_MONTH,COST_OVER_AVG_COST_BY_CHANNEL_MONTH,AVG_FREE_TRIALS_BY_ATL_OR_DR_MONTH,MEDIAN_FREE_TRIALS_BY_ATL_OR_DR_MONTH,FREE_TRIALS_OVER_AVG_FREE_TRIALS_BY_ATL_OR_DR_MONTH,AVG_COST_PER_FREE_TRIALS_BY_ATL_OR_DR_MONTH,MEDIAN_COST_PER_FREE_TRIALS_BY_ATL_OR_DR_MONTH,COST_PER_FREE_TRIALS_OVER_AVG_COST_PER_FREE_TRIALS_BY_ATL_OR_DR_MONTH,AVG_COST_BY_ATL_OR_DR_MONTH,MEDIAN_COST_BY_ATL_OR_DR_MONTH,COST_OVER_AVG_COST_BY_ATL_OR_DR_MONTH,AVG_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,MEDIAN_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,FREE_TRIALS_OVER_AVG_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,AVG_COST_PER_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,MEDIAN_COST_PER_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,COST_PER_FREE_TRIALS_OVER_AVG_COST_PER_FREE_TRIALS_BY_CAMPAIGN_TYPE_MONTH,AVG_COST_BY_CAMPAIGN_TYPE_MONTH,MEDIAN_COST_BY_CAMPAIGN_TYPE_MONTH,COST_OVER_AVG_COST_BY_CAMPAIGN_TYPE_MONTH,NORMALIZE_FREE_TRIAL_BY_MONTH,NORMALIZE_COST_PER_FREE_TRIALS_BY_MONTH,NORMALIZE_COST_BY_FREE_TRIALS_BY_MONTH
DR - Direct Response,Title,paid social,7784.31,86401.15,False,Summer,June,DR - Direct Response_Title,DR - Direct Response_Title_paid social,DR - Direct Response_Title_paid social_June,DR - Direct Response_Title_June,DR - Direct Response_paid social,DR - Direct Response_paid social_June,DR - Direct Response_June,Title_paid social,Title_paid social_June,Title_June,paid social_June,0.0900949813746692,672573335.9564999,8.959993903642285,11.3667678387418,0.0862648313205243,20.326621714731047,16887.563506024097,3643.265,14781.334567099568,3309.5,42865.334722891566,25054.485,38790.03604255319,25454.12,2.227405767429986,1.4619235615846984,0.127788095969517,0.06162769637354219,18859.440765957446,4154.25,0.412754020471869,41278.932085889566,25513.35,2.0931052630001203,1.2113081124062095,0.11920243878180756,0.0743782531066349,13498.10917177914,3247.255,0.5766963284216775,39965.780229007636,24130.56,2.161878224443846,0.9426932652545306,0.1292262306299444,0.09557189458688159,12783.161145038168,3432.16,0.6089503145332334,2.0156415564826746,0.08622012634726077,0.7012952402754963
DR - Direct Response,Title,app,2474.31,2956.74,False,Summer,August,DR - Direct Response_Title,DR - Direct Response_Title_app,DR - Direct Response_Title_app_August,DR - Direct Response_Title_August,DR - Direct Response_app,DR - Direct Response_app_August,DR - Direct Response_August,Title_app,Title_app_August,Title_August,app_August,0.8368371923131558,7315891.3494,7.8141209196846,7.992180742179701,0.6080451753664432,15.805559573977856,14172.931604095564,2955.06,15454.45153961136,3477.08,43953.76838225256,28127.39,48598.8089516129,27119.52,0.060839762615249676,0.6178904146457035,0.1248385580724774,1.3543456452435756,13320.618548387096,3438.0550000000003,0.1857503832132178,48221.59565674256,29560.06,0.061315681485263646,0.7342690080899349,0.1000499092606062,1.1396874756978141,13786.383415061295,2796.25,0.17947491561107137,41913.39146258503,26403.989999999998,0.07054404086196181,0.853002332233088,0.10707784203703855,0.981049125765444,14949.239778911566,3239.6549999999997,0.16551410216126397,0.06726931748573026,1.0230578947216598,0.013035797551187923
ATL - Above The Line,Title,paid social,10222.82,12513.08,False,Summer,July,ATL - Above The Line_Title,ATL - Above The Line_Title_paid social,ATL - Above The Line_Title_paid social_July,ATL - Above The Line_Title_July,ATL - Above The Line_paid social,ATL - Above The Line_paid social_July,ATL - Above The Line_July,Title_paid social,Title_paid social_July,Title_July,paid social_July,0.8169707218366701,127918964.4856,9.232475570828532,9.434609689377892,0.5971706758206281,18.66690753925902,13667.90251519757,2994.47,14781.334567099568,3309.5,45959.68763677812,27091.21,44656.93286764706,27553.295,0.2802046445304676,0.9026427022783422,0.1260642229104142,0.9050876052889707,13666.153272058824,3465.575,0.7480393199526818,45883.8623699422,27283.7,0.2727120027322966,0.8414478301419623,0.1182290323090125,0.9709107238399287,14134.902855491331,3074.58,0.7232324200960809,47447.52345419847,27828.02,0.2637246180420563,0.8508117686307275,0.10184031401304369,0.9602249897782675,13099.998683206108,2802.46,0.7803680173728121,0.2722620766897187,0.9843932844051769,0.22690843169123479
DR - Direct Response,Title,app,49631.87,17207.04,False,Winter,December,DR - Direct Response_Title,DR - Direct Response_Title_app,DR - Direct Response_Title_app_December,DR - Direct Response_Title_December,DR - Direct Response_app,DR - Direct Response_app_December,DR - Direct Response_December,Title_app,Title_app_December,Title_December,app_December,2.8843932483448635,854017572.3648001,10.812408594836176,9.753131995445097,1.3569667935903418,20.565462329251663,18937.98330232558,3240.025,15454.45153961136,3477.08,47495.480279069765,28640.06,45587.740752688165,30984.38,0.37744884295423997,0.567471900408424,0.1365288821805494,5.082882952034968,13460.25311827957,3921.25,3.6872909865712638,46403.302137096776,29570.435,0.37081498961350773,1.0728083094692311,0.1352472217219115,2.688638056664484,20420.48510080645,3398.4049999999997,2.4304941706815737,46867.40402760351,28693.37,0.3671430145750246,0.8715864989086336,0.1099108139458258,3.3093597158246344,14484.916524466751,3133.11,3.4264519174940262,0.3622879461139542,2.645155042027552,0.9793142253083098
ATL - Above The Line,Title,paid social,2081.06,21758.33,False,Summer,August,ATL - Above The Line_Title,ATL - Above The Line_Title_paid social,ATL - Above The Line_Title_paid social_August,ATL - Above The Line_Title_August,ATL - Above The Line_paid social,ATL - Above The Line_paid social_August,ATL - Above The Line_August,Title_paid social,Title_paid social_August,Title_August,paid social_August,0.0956442888769496,45280390.2298,7.641113067203475,9.987797910054669,0.0913425819024049,17.628384632055973,14172.931604095564,2955.06,14781.334567099568,3309.5,43953.76838225256,28127.39,49129.031701244814,28912.47,0.442881311651186,0.9002000737717032,0.1194010787595858,0.10624781275146356,16362.849834024897,3011.83,0.12718200198064797,41227.89659955257,26736.614999999998,0.5277574602298807,0.8714404829218867,0.1102398851304479,0.10975424111152164,14419.820883668903,3109.025,0.14431940707092236,41913.39146258503,26403.989999999998,0.5191259700237593,0.853002332233088,0.10707784203703855,0.11212664404628407,14949.239778911566,3239.6549999999997,0.13920841666715972,0.4950276347359895,0.11692793499071162,0.08068271819302922
ATL - Above The Line,Title,paid social,2081.12,16865.54,False,Summer,August,ATL - Above The Line_Title,ATL - Above The Line_Title_paid social,ATL - Above The Line_Title_paid social_August,ATL - Above The Line_Title_August,ATL - Above The Line_paid social,ATL - Above The Line_paid social_August,ATL - Above The Line_August,Title_paid social,Title_paid social_August,Title_August,paid social_August,0.1233948038426282,35099212.6048,7.641141884401581,9.733087056697824,0.1163551757206203,17.373689283763458,14172.931604095564,2955.06,14781.334567099568,3309.5,43953.76838225256,28127.39,49129.031701244814,28912.47,0.34329070645153115,0.9002000737717032,0.1194010787595858,0.1370748652859164,16362.849834024897,3011.83,0.127185668823564,41227.89659955257,26736.614999999998,0.4090807776058853,0.8714404829218867,0.1102398851304479,0.14159865907180827,14419.820883668903,3109.025,0.14432356801026303,41913.39146258503,26403.989999999998,0.402390248354286,0.853002332233088,0.10707784203703855,0.14465939796388486,14949.239778911566,3239.6549999999997,0.13921243024918042,0.3837108994461073,0.150853749568519,0.06254141947581016
DR - Direct Response,Brand,display,54929.17,2136.2,False,Winter,February,DR - Direct Response_Brand,DR - Direct Response_Brand_display,DR - Direct Response_Brand_display_February,DR - Direct Response_Brand_February,DR - Direct Response_display,DR - Direct Response_display_February,DR - Direct Response_February,Brand_display,Brand_display_February,Brand_February,display_February,25.713495927347623,117339692.95399998,10.913818021179866,7.667251840083616,3.2851689031453093,18.580583653260188,13900.634352226722,3124.38,16684.06024691358,3131.175,41704.905263157896,26583.695,44885.15012195122,21845.760000000002,0.04759257781685094,0.6827339962898087,0.10863603521279824,37.66253924234453,10287.802926829268,2332.16,5.339251771313754,42321.25867549669,27383.62,0.05047581444539655,0.5093998002542082,0.0917573281082943,50.47802514746903,8974.64068432671,2473.99,6.120486817475396,42377.4804359673,27127.84,0.05040884870981923,0.5290011419023914,0.0949350492983183,48.6076378490921,9435.677520435967,2749.45,5.8214335834425635,0.05122179241316053,29.721331866680167,0.2123474633219893
DR - Direct Response,Title,youtube,12689.4,40603.83,False,Fall,November,DR - Direct Response_Title,DR - Direct Response_Title_youtube,DR - Direct Response_Title_youtube_November,DR - Direct Response_Title_November,DR - Direct Response_youtube,DR - Direct Response_youtube_November,DR - Direct Response_November,Title_youtube,Title_youtube_November,Title_November,youtube_November,0.3125173167161816,515238240.402,9.448601081094246,10.61164230403123,0.2719469090851252,20.06013995632354,18449.15355907781,3363.825,16373.851519468184,3055.75,50191.9100648415,29359.99,39894.03511278195,26945.84,1.0177920053765288,1.8714010506740553,0.177593984962406,0.1669964418389189,19340.36812030075,4777.86,0.6561095384053462,46332.36646271511,29382.11,0.8763599423024289,0.9605321897546919,0.1311081206938908,0.32535850443075176,16873.10533460803,4078.66,0.7520488818364139,51914.87697612732,29848.08,0.7821232056212206,1.2681768245288658,0.1148171815326278,0.2464303957236274,19431.027374005305,3467.375,0.6530483311950758,0.8089716041398917,0.2928712249067652,0.4953775093613
ATL - Above The Line,Title,paid social,1360.86,47558.64,False,Winter,December,ATL - Above The Line_Title,ATL - Above The Line_Title_paid social,ATL - Above The Line_Title_paid social_December,ATL - Above The Line_Title_December,ATL - Above The Line_paid social,ATL - Above The Line_paid social_December,ATL - Above The Line_December,Title_paid social,Title_paid social_December,Title_December,paid social_December,0.0286143590312927,64720650.8304,7.216606691411518,10.769739781390031,0.0282126140427826,17.98559090220891,18937.98330232558,3240.025,14781.334567099568,3309.5,47495.480279069765,28640.06,45741.87536290322,27114.275,1.039717755834956,1.4885048479954008,0.1232090517377108,0.01922355783377409,16016.850322580645,3120.2749999999996,0.08496427028986166,47938.062271241826,28199.725,0.9920851562773858,1.0975903846875756,0.1088298424974887,0.026070161902372765,18337.23093954248,3174.52,0.07421294984432113,46867.40402760351,28693.37,1.0147487574090805,0.8715864989086336,0.1099108139458258,0.032830199948166335,14484.916524466751,3133.11,0.09395014446243753,1.0013298048689923,0.026241018317957502,0.07421610055858283
DR - Direct Response,Brand,app,8455.89,137465.71,False,Spring,March,DR - Direct Response_Brand,DR - Direct Response_Brand_app,DR - Direct Response_Brand_app_March,DR - Direct Response_Brand_March,DR - Direct Response_app,DR - Direct Response_app_March,DR - Direct Response_March,Brand_app,Brand_app_March,Brand_March,app_March,0.0615127219726286,1162394922.5319,9.04273677272116,11.831137057684716,0.0596949869905599,20.873748302980857,14016.207177664975,3180.04,13616.266717850289,3266.98,46669.75994923858,27829.63,53905.498172043015,29121.76,2.55012409979533,0.6566257741060562,0.0987985272987387,0.09368002962779413,14885.17376344086,3538.52,0.5680746583401209,49764.51721491228,27573.775,2.7623237940065346,0.8183461935530444,0.10884695715193295,0.0751671144281328,15262.37995614035,3106.0950000000003,0.5540348244703495,47228.52873417721,27662.21,2.910649848393903,0.9501526585235528,0.1344197559464088,0.06473983040600396,15178.22917721519,3153.66,0.5571064912297915,2.94549854444329,0.08041610280876212,1.5776023441107474
