ATL_OR_DR,CAMPAIGN_TYPE,CHANNEL,COST,HOLIDAY_FLAG,LAG_3_HOLIDAY_FLAG,LEAD_3_HOLIDAY_FLAG,SEASON,CHANNEL_ATL_OR_DR,CHANNEL_CAMPAIGN_TYPE,COST_PER_FREE_TRIALS,COST_BY_FREE_TRIALS,LOG_COST,LOG_FREE_TRIALS,LOG_COST_PER_FREE_TRIALS,LOG_COST_BY_FREE_TRIALS
DR - Direct Response,Title,paid social,7784.31,False,False,False,Summer,paid social_DR - Direct Response,paid social_Title,0.0900949813746692,672573335.9564999,8.959993903642285,11.3667678387418,0.0862648313205243,20.326621714731047
DR - Direct Response,Title,app,2474.31,False,False,False,Summer,app_DR - Direct Response,app_Title,0.8368371923131558,7315891.3494,7.8141209196846,7.992180742179701,0.6080451753664432,15.805559573977856
ATL - Above The Line,Title,paid social,10222.82,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.8169707218366701,127918964.4856,9.232475570828532,9.434609689377892,0.5971706758206281,18.66690753925902
DR - Direct Response,Title,app,49631.87,False,True,False,Winter,app_DR - Direct Response,app_Title,2.8843932483448635,854017572.3648001,10.812408594836176,9.753131995445097,1.3569667935903418,20.565462329251663
ATL - Above The Line,Title,paid social,2081.06,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.0956442888769496,45280390.2298,7.641113067203475,9.987797910054669,0.0913425819024049,17.628384632055973
ATL - Above The Line,Title,paid social,2081.12,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.1233948038426282,35099212.6048,7.641141884401581,9.733087056697824,0.1163551757206203,17.373689283763458
DR - Direct Response,Brand,display,54929.17,False,False,False,Winter,display_DR - Direct Response,display_Brand,25.713495927347623,117339692.95399998,10.913818021179866,7.667251840083616,3.2851689031453093,18.580583653260188
DR - Direct Response,Title,youtube,12689.4,False,False,False,Fall,youtube_DR - Direct Response,youtube_Title,0.3125173167161816,515238240.402,9.448601081094246,10.61164230403123,0.2719469090851252,20.06013995632354
ATL - Above The Line,Title,paid social,1360.86,False,False,False,Winter,paid social_ATL - Above The Line,paid social_Title,0.0286143590312927,64720650.8304,7.216606691411518,10.769739781390031,0.0282126140427826,17.98559090220891
DR - Direct Response,Brand,app,8455.89,False,False,False,Spring,app_DR - Direct Response,app_Brand,0.0615127219726286,1162394922.5319,9.04273677272116,11.831137057684716,0.0596949869905599,20.873748302980857
DR - Direct Response,Title,paid social,1375.82,False,False,False,Fall,paid social_DR - Direct Response,paid social_Title,0.1100340862377015,17202675.435599998,7.227531771229939,9.433850256182303,0.1043907231750055,16.66057553639914
ATL - Above The Line,Brand,youtube,1370.09,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Brand,0.1189514553666155,15780778.8254,7.223361322921965,9.351758333698426,0.112392046232022,16.5743032907541
DR - Direct Response,Brand,paid social,4914.93,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,2.621114269410654,9216132.690900002,8.500236231365669,7.536966423540553,1.2867817877036003,16.036466168203653
DR - Direct Response,Brand,app,100.46,False,False,False,Fall,app_DR - Direct Response,app_Brand,0.0048916137017771,2063166.1074,4.619664632138544,9.930041358859668,0.004879688632218,14.539752790905707
DR - Direct Response,Title,app,141.14,False,True,False,Fall,app_DR - Direct Response,app_Title,0.0020735491436582,9606958.031799998,4.956812487398749,11.128260574634652,0.0020714023078335,16.077998292971415
DR - Direct Response,Brand,display,1150.95,False,False,False,Spring,display_DR - Direct Response,display_Brand,0.0771119612480486,17178734.415000003,7.0492114375361306,9.610906834621938,0.074283349361714,16.659182863836794
DR - Direct Response,Brand,display,510.35,False,False,False,Fall,display_DR - Direct Response,display_Brand,0.0021566495398225,120769331.1735,6.237054287252022,12.374300391183752,0.002154327309429,18.609392938497923
DR - Direct Response,Title,display,5599.93,False,False,False,Spring,display_DR - Direct Response,display_Title,0.2627464099477034,119351644.0858,8.630687934363479,9.96712222782808,0.2332890393191827,18.597584694364212
DR - Direct Response,Brand,paid social,616.64,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.0193012620128163,19700519.5488,6.425905763452663,10.371901481377478,0.0191173553086188,16.796155617156067
DR - Direct Response,Title,paid social,248.15,False,False,False,Summer,paid social_DR - Direct Response,paid social_Title,0.0353229383446402,1743298.417,5.518055124727414,8.857398451626558,0.0347133957742155,14.37129009230803
ATL - Above The Line,Title,youtube,44748.54,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Title,1.2168874131664718,1645535823.9929998,10.70883644432056,10.512544993056585,0.7961041459285375,21.221331897604443
DR - Direct Response,Title,app,242.64,False,False,False,Winter,app_DR - Direct Response,app_Title,0.0042558752002834,13833622.188,5.495691725968284,10.951051253715615,0.0042468445764953,16.442612649662696
ATL - Above The Line,Title,paid social,1188.76,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.011030065362388,128118038.3952,7.081506885093025,11.587805824470315,0.0109696778378906,18.66846257970959
DR - Direct Response,Brand,display,3879.66,False,False,False,Fall,display_DR - Direct Response,display_Brand,0.3914431898554862,38451969.8022,8.263760521244212,9.201518574090072,0.3303414746002465,17.464920508836443
DR - Direct Response,Brand,paid social,397.71,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.0122803176807734,12880224.1287,5.988234335587697,10.385511460398376,0.0122055262652911,16.371203757424063
ATL - Above The Line,Title,paid social,6256.83,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.1289265241025176,303645211.266,8.74158875863134,10.78996216906656,0.1212672025381975,19.53137051290544
DR - Direct Response,Title,paid social,1073.97,False,False,False,Fall,paid social_DR - Direct Response,paid social_Title,0.0249988477862832,46138588.8966,6.9800480331956125,10.66806616221638,0.0246914884787964,17.647160248834115
DR - Direct Response,Brand,paid social,1875.76,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.1620613803935934,21710759.0288,7.537302164799113,9.356635707789213,0.1501954800928008,16.893318549477538
DR - Direct Response,Title,app,1071.9,False,False,False,Spring,app_DR - Direct Response,app_Title,0.4282238637226193,2683105.0470000003,6.978120541642701,7.825696647805259,0.3564316189434401,14.80248565415777
ATL - Above The Line,Brand,paid social,89921.2,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Brand,2.303092331460559,3510854558.016,11.406700131020395,10.57246191039153,1.1948590998358626,21.97912530889873
DR - Direct Response,Brand,paid social,3099.27,False,False,False,Summer,paid social_DR - Direct Response,paid social_Brand,0.1309997210316756,73324389.22199999,8.039244483454727,10.071524231218714,0.1231019504776095,18.11040385669365
DR - Direct Response,Brand,paid social,470.64,False,False,False,Fall,paid social_DR - Direct Response,paid social_Brand,0.0301377020962685,7349664.8448,6.156215982708472,9.65613583376905,0.029692484661252,15.810165406863016
ATL - Above The Line,Brand,youtube,14016.59,False,False,True,Winter,youtube_ATL - Above The Line,youtube_Brand,0.2362954890972496,831436926.6154,9.548068248522965,10.990685949868729,0.212119399312003,20.53866599998047
DR - Direct Response,Brand,ott,350.6,False,False,False,Winter,ott_DR - Direct Response,ott_Brand,0.0133033672393388,9239793.038,5.862494165811022,10.179422016248004,0.0132156545094821,16.039030153109696
DR - Direct Response,Title,app,4629.89,False,False,False,Spring,app_DR - Direct Response,app_Title,0.6306480437187053,33990244.8372,8.440504353229525,8.901431939201172,0.4889775086410946,17.34158415427927
ATL - Above The Line,Brand,display,92.39,False,False,False,Summer,display_ATL - Above The Line,display_Brand,0.0232561066473348,367039.6008,4.536784273121627,8.287457962652633,0.0229898042663714,12.813227749800618
DR - Direct Response,Brand,app,288.84,False,True,False,Winter,app_DR - Direct Response,app_Brand,0.0325094543490005,2566285.632,5.669329046586822,9.092209775927683,0.0319922025656078,14.757970521738486
DR - Direct Response,Title,ott,4530.67,False,False,False,Spring,ott_DR - Direct Response,ott_Title,0.0149060920183792,1377086001.0518,8.418845803962737,12.624613689743716,0.0147960880345581,21.043235510844152
DR - Direct Response,Brand,pmax,12042.94,False,False,False,Summer,pmax_DR - Direct Response,pmax_Brand,0.2115818399577361,685467164.2545999,9.396316907855573,10.949394849085786,0.1919268115787027,20.345611156847312
DR - Direct Response,Brand,app,4326.91,True,False,False,Summer,app_DR - Direct Response,app_Brand,0.1298979947799553,144129631.7146,8.372840025485702,10.413644752957,0.1221273585434237,18.786223679763523
DR - Direct Response,Brand,app,220.2,False,False,False,Spring,app_DR - Direct Response,app_Brand,0.0024772898224338,19573018.692,5.39906726964818,11.395137604302205,0.0024742263982849,16.78966262956396
ATL - Above The Line,Brand,youtube,866.06,False,False,False,Summer,youtube_ATL - Above The Line,youtube_Brand,0.0513844357477994,14597025.5912,6.765108178538294,9.73243347857168,0.0501078059341186,16.496328407800444
ATL - Above The Line,Brand,ott,1382.74,False,False,False,Summer,ott_ATL - Above The Line,ott_Brand,0.0281203378166217,67992423.1376,7.2325452572578,10.803104852072789,0.0277322203148711,18.03490684719268
DR - Direct Response,Title,youtube,21405.74,False,True,False,Summer,youtube_DR - Direct Response,youtube_Title,1.1012508707323825,416077496.1684001,9.9714611046936,9.875019145597491,0.7425328201284109,19.846382092145667
ATL - Above The Line,Title,paid social,5904.82,False,False,False,Summer,paid social_ATL - Above The Line,paid social_Title,0.0305963221011614,1139578120.4394,8.683693584358892,12.170404897115851,0.0301375882089,20.85392396194761
ATL - Above The Line,Brand,paid social,5700.24,False,False,True,Fall,paid social_ATL - Above The Line,paid social_Brand,0.0592814948541149,548109256.3127999,8.648438974023057,11.473732039444636,0.0575908432466494,20.1219851996982
DR - Direct Response,Title,youtube,1584.78,False,False,False,Winter,youtube_DR - Direct Response,youtube_Title,0.1033040369782014,24311999.0454,7.368831678827881,9.638344881870324,0.0983093477806028,17.006480615446158
ATL - Above The Line,Brand,youtube,935.82,False,False,False,Spring,youtube_ATL - Above The Line,youtube_Brand,0.0117451254315689,74563620.2442,6.84249116132974,11.285752682194191,0.0116766868048002,18.12716329535159
DR - Direct Response,Brand,app,9579.44,False,True,False,Winter,app_DR - Direct Response,app_Brand,0.4754227315972607,193019106.18640003,9.16747879892899,9.910974951871871,0.3889445464235675,19.07829974293469
ATL - Above The Line,Brand,youtube,20419.85,False,False,False,Fall,youtube_ATL - Above The Line,youtube_Brand,0.6632924689765568,628637129.9614999,9.924311716709328,10.3348344845417,0.5087990530439604,20.25906474988245
ATL - Above The Line,Brand,paid social,17056.16,False,False,False,Fall,paid social_ATL - Above The Line,paid social_Brand,0.1200182868549473,2423902236.6416,9.744325335909949,11.864384901765732,0.1133450127227703,21.60864457333422
ATL - Above The Line,Title,youtube,698.18,False,False,False,Summer,youtube_ATL - Above The Line,youtube_Title,0.0720736902848447,6763290.6054,6.549908219813227,9.1786463818425,0.0695948012234154,15.727020253385923
DR - Direct Response,Brand,pmax,1817.38,True,True,False,Fall,pmax_DR - Direct Response,pmax_Brand,0.0537644556059691,61432223.7094,7.50570127379769,10.428323472154228,0.0523689484898638,17.93344508784167
DR - Direct Response,Brand,display,5774.59,False,False,False,Spring,display_DR - Direct Response,display_Brand,0.1349931540169685,247019116.7169,8.661395694673722,10.663777126838015,0.1266266192120637,19.32497629126061
ATL - Above The Line,Brand,display,18474.86,False,False,False,Fall,display_ATL - Above The Line,display_Brand,0.3977895865540718,858042702.868,9.824220294124082,10.746019789643762,0.3348921221505197,20.57016442762161
ATL - Above The Line,Title,youtube,1337.24,False,False,False,Summer,youtube_ATL - Above The Line,youtube_Title,0.0762344544114838,23456727.426000003,7.199110596800214,9.772361835381163,0.0734683324385127,16.97066793818291
DR - Direct Response,Title,youtube,2271.43,False,False,False,Summer,youtube_DR - Direct Response,youtube_Title,0.010165257315362,507551760.3576,7.728605022496901,12.316948861705976,0.010113938573014,20.04510925650216
DR - Direct Response,Title,youtube,366.54,False,False,False,Spring,youtube_DR - Direct Response,youtube_Title,0.0030776751503551,43653590.7906,5.906832156267279,11.687696840745586,0.0030729488031473,17.59179612301806
ATL - Above The Line,Launch,radio,13765.39,False,False,False,Summer,radio_ATL - Above The Line,radio_Launch,0.147603386728896,1283750773.2809,9.52998539322677,11.443149894397104,0.1376757562612688,20.9730519223468
ATL - Above The Line,Launch,digital audio,36729.26,False,False,False,Summer,digital audio_ATL - Above The Line,digital audio_Launch,0.1979609663557131,6814669401.661401,10.511356217470937,12.131019788651908,0.1806209168216345,22.64234339067047
ATL - Above The Line,Brand,digital audio,2788.63,False,False,False,Spring,digital audio_ATL - Above The Line,digital audio_Brand,0.4975032335756656,15630968.3075,7.933664249533612,8.631637325807107,0.4037992103211064,16.56476471630969
ATL - Above The Line,Launch,ooh,19432.16,False,False,False,Summer,ooh_ATL - Above The Line,ooh_Launch,1.684852320858026,224119845.752,9.874736164248192,9.353093488500123,0.9876257249055532,19.22769149688457
ATL - Above The Line,Launch,olv,6100.01,False,False,False,Summer,olv_ATL - Above The Line,olv_Launch,0.0495486933706068,750980893.1142,8.71620961022607,11.720853200665584,0.0483602559346108,20.436890768811185
ATL - Above The Line,Title,cinema,991.11,False,False,False,Winter,cinema_ATL - Above The Line,cinema_Title,0.2362282984869719,4158261.4716,6.899833988234128,8.342020421049648,0.2120650494928977,15.240607869890754
