Feature,VIF
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_pmax_August,7.776572342149633e+18
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_pmax_August,7.543854750498674e+18
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_olv_June,3.7467082551515203e+18
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_February,2.021183979624398e+18
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_cinema_May,1.4168351505364137e+18
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_June,1.0328225709370541e+18
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_March,8.916258896765222e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_March,8.600735233819704e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_bvod_May,8.398516962803055e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_February,8.239674837735772e+17
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ott_September,8.178050261750748e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_cinema_February,7.997214153910463e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_print_January,7.372909627569298e+17
CHANNEL_MONTH_online display_May,7.05792531772909e+17
CHANNEL_MONTH_tv_April,6.43209769986544e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_August,6.388289227832833e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_olv_June,6.107110736081325e+17
CHANNEL_MONTH_ctv_May,5.7032340296751795e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_February,5.393382060968111e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_pmax_October,5.259211489867726e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_February,5.02176174386791e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_olv_September,4.83074230972582e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_September,4.786274414536287e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_display_October,4.530673963970839e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_bvod_May,4.17071350185846e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_digital audio_March,3.990074622157645e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ctv_May,3.956988133063463e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_April,3.485451151338316e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_print_January,3.374131598067614e+17
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_display_October,3.368574494145635e+17
CHANNEL_MONTH_cinema_March,3.233349946032725e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_olv_February,3.2224978403212006e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_olv_February,3.192074481313462e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_online display_May,3.0443796080770304e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_May,2.8055645548660995e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_partnership_August,2.704565770795862e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_partnership_August,2.701707224950885e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_pmax_September,2.580827004237985e+17
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_digital audio_March,2.432167040538674e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_olv_April,2.404003087904462e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_March,2.3424091901097347e+17
ATL_OR_DR_CAMPAIGN_TYPE_MONTH_ATL - Above The Line_Launch_September,2.195634923276298e+17
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_ott_July,2.1137778060919098e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_olv_April,2.1069750240566656e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_radio_February,1.9637119574676957e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_radio_February,1.9328581847305194e+17
CHANNEL_MONTH_bvod_April,1.8939966729067456e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_May,1.876090411687466e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_digital audio_September,1.7318317090488048e+17
CHANNEL_MONTH_online display_January,1.6902607649655946e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_tv_September,1.627766778624371e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_pmax_September,1.5400444514449494e+17
CHANNEL_MONTH_radio_June,1.5225350591410614e+17
CHANNEL_MONTH_ctv_June,1.491196916829273e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_partnership_February,1.4426926305671875e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_DR - Direct Response_Brand_pmax_November,1.3989666442099958e+17
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ctv_August,1.38060801463807e+17
ATL_OR_DR_CHANNEL_MONTH_ATL - Above The Line_olv_May,1.3705180688477056e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_online display_March,1.3303863615997968e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_radio_September,1.055505991805655e+17
CHANNEL_MONTH_online display_March,1.0199636599299378e+17
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_ooh_June,9.596969887280293e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_cinema_October,9.537987257444437e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Title_ooh_May,9.438372111899922e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Launch_ooh_June,9.429274097263458e+16
CHANNEL_MONTH_pmax_January,9.193500381110632e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_tv_November,8.937367257784902e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Brand_pmax_November,8.36829244296157e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Title_ooh_May,8.208713580308814e+16
CAMPAIGN_TYPE_CHANNEL_MONTH_Launch_cinema_October,8.068490149448443e+16
ATL_OR_DR_CAMPAIGN_TYPE_CHANNEL_MONTH_ATL - Above The Line_Brand_digital audio_January,8.039400717624557e+16
CHANNEL_MONTH_tv_October,7.828623945001762e+16
