REPORT_DATE,ATL_OR_DR,CAMPAIGN_TYPE ,CHANNEL,COST,FREE TRIALS
6/9/2023,DR - Direct Response,Title,paid social,7784.31,86401.15
8/29/2023,DR - Direct Response,Title,app,2474.31,2956.74
7/23/2023,ATL - Above The Line,Title,paid social,10222.82,12513.08
12/23/2023,DR - Direct Response,Title,app,49631.87,17207.04
8/31/2022,ATL - Above The Line,Title,paid social,2081.06,21758.33
8/27/2023,ATL - Above The Line,Title,paid social,2081.12,16865.54
2/7/2023,DR - Direct Response,Brand,display,54929.17,2136.2
11/16/2023,DR - Direct Response,Title,youtube,12689.4,40603.83
12/3/2022,ATL - Above The Line,Title,paid social,1360.86,47558.64
3/6/2023,DR - Direct Response,Brand,app,8455.89,137465.71
11/16/2023,DR - Direct Response,Title,paid social,1375.82,12503.58
10/28/2022,ATL - Above The Line,Brand,youtube,1370.09,11518.06
6/5/2023,DR - Direct Response,Brand,paid social,4914.93,1875.13
11/18/2023,DR - Direct Response,Brand,app,100.46,20537.19
10/8/2023,DR - Direct Response,Title,app,141.14,68066.87
5/18/2023,DR - Direct Response,Brand,display,1150.95,14925.7
10/23/2023,DR - Direct Response,Brand,display,510.35,236640.21
3/27/2024,DR - Direct Response,Title,display,5599.93,21313.06
8/7/2023,DR - Direct Response,Brand,paid social,616.64,31948.17
6/6/2022,DR - Direct Response,Title,paid social,248.15,7025.18
11/16/2023,ATL - Above The Line,Title,youtube,44748.54,36772.95
9/8/2023,ATL - Above The Line,Brand,display,0,3786.49
9/24/2022,ATL - Above The Line,Brand,display,0,55282.49
12/8/2023,DR - Direct Response,Title,app,242.64,57012.95
8/30/2022,ATL - Above The Line,Title,paid social,1188.76,107774.52
10/15/2023,DR - Direct Response,Brand,display,3879.66,9911.17
6/11/2023,DR - Direct Response,Brand,paid social,397.71,32385.97
8/29/2022,ATL - Above The Line,Title,paid social,6256.83,48530.2
9/17/2023,DR - Direct Response,Title,paid social,1073.97,42960.78
8/1/2022,DR - Direct Response,Brand,paid social,1875.76,11574.38
4/29/2023,DR - Direct Response,Title,app,1071.9,2503.13
6/28/2022,ATL - Above The Line,Brand,paid social,89921.2,39043.68
7/20/2022,DR - Direct Response,Brand,paid social,3099.27,23658.6
10/21/2023,DR - Direct Response,Brand,paid social,470.64,15616.32
12/28/2022,ATL - Above The Line,Brand,youtube,14016.59,59318.06
2/28/2024,DR - Direct Response,Brand,ott,350.6,26354.23
4/25/2023,DR - Direct Response,Title,app,4629.89,7341.48
7/25/2022,ATL - Above The Line,Brand,display,92.39,3972.72
2/17/2023,DR - Direct Response,Brand,app,288.84,8884.8
3/18/2024,DR - Direct Response,Title,ott,4530.67,303947.54
8/12/2023,DR - Direct Response,Brand,pmax,12042.94,56918.59
7/4/2022,DR - Direct Response,Brand,app,4326.91,33310.06
7/11/2023,ATL - Above The Line,Brand,display,0,22976.64
3/3/2024,DR - Direct Response,Brand,paid social,0,21510.68
4/28/2023,DR - Direct Response,Brand,app,220.2,88887.46
8/29/2022,ATL - Above The Line,Brand,youtube,866.06,16854.52
7/27/2022,ATL - Above The Line,Brand,ott,1382.74,49172.24
7/2/2023,DR - Direct Response,Title,youtube,21405.74,19437.66
7/25/2022,ATL - Above The Line,Title,paid social,5904.82,192991.17
3/7/2023,DR - Direct Response,Brand,youtube,0,58043.47
11/14/2023,ATL - Above The Line,Brand,paid social,5700.24,96155.47
1/9/2024,DR - Direct Response,Title,youtube,1584.78,15340.93
3/16/2023,ATL - Above The Line,Brand,youtube,935.82,79677.31
2/10/2023,DR - Direct Response,Brand,app,9579.44,20149.31
